scenario,layout,run,n,f,commits,budget_kib,locality,tree_bytes_avg,transaction_bytes_avg,total_bytes_avg,commit_ms_avg,commit_ms_p50,commit_ms_p95,flushes,open_read_ops,open_ms,resolve_read_ops_avg,resolve_ms_avg,resolve_ms_p50,resolve_ms_p95,materialize_read_ops,materialize_ms,cache_policy
AB-TRICKLE,flat,1,50000,10,500,64,contiguous,4477891.248,0.000,4477891.248,6.962,6.808,7.766,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,1,50000,10,500,64,contiguous,34300.930,0.000,34300.930,0.525,0.463,0.607,16,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,2,50000,10,500,64,contiguous,4477891.248,0.000,4477891.248,6.871,6.797,7.367,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,2,50000,10,500,64,contiguous,34299.906,0.000,34299.906,0.506,0.451,0.567,16,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,3,50000,10,500,64,contiguous,4477891.248,0.000,4477891.248,7.154,6.923,9.007,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,3,50000,10,500,64,contiguous,34300.034,0.000,34300.034,0.524,0.464,0.607,16,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,1,50000,10,500,64,scattered,4477891.248,0.000,4477891.248,6.746,6.655,7.260,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,1,50000,10,500,64,scattered,56763.900,0.000,56763.900,0.515,0.501,0.792,28,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,2,50000,10,500,64,scattered,4477891.248,0.000,4477891.248,6.790,6.756,7.265,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,2,50000,10,500,64,scattered,56763.900,0.000,56763.900,0.522,0.504,0.836,28,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,3,50000,10,500,64,scattered,4477891.248,0.000,4477891.248,6.849,6.746,7.399,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,3,50000,10,500,64,scattered,56763.900,0.000,56763.900,0.518,0.500,0.777,28,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,1,50000,10,500,128,contiguous,4477891.248,0.000,4477891.248,6.736,6.692,7.160,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,1,50000,10,500,128,contiguous,62470.986,0.000,62470.986,0.547,0.512,0.687,7,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,2,50000,10,500,128,contiguous,4477891.248,0.000,4477891.248,6.741,6.723,7.176,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,2,50000,10,500,128,contiguous,62471.754,0.000,62471.754,0.552,0.519,0.706,7,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,3,50000,10,500,128,contiguous,4477891.248,0.000,4477891.248,6.853,6.769,7.509,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,3,50000,10,500,128,contiguous,62470.730,0.000,62470.730,0.549,0.523,0.692,7,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,1,50000,10,500,128,scattered,4477891.248,0.000,4477891.248,6.811,6.723,7.397,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,1,50000,10,500,128,scattered,94571.266,0.000,94571.266,0.602,0.602,0.718,7,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,2,50000,10,500,128,scattered,4477891.248,0.000,4477891.248,6.804,6.778,7.277,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
