scenario,layout,run,n,f,commits,budget_kib,locality,tree_bytes_avg,transaction_bytes_avg,total_bytes_avg,commit_ms_avg,commit_ms_p50,commit_ms_p95,flushes,open_read_ops,open_ms,resolve_read_ops_avg,resolve_ms_avg,resolve_ms_p50,resolve_ms_p95,materialize_read_ops,materialize_ms,cache_policy,delta_bytes_avg,folds,max_delta_tail
AB-TRICKLE,flat,1,50000,10,500,128,contiguous,4477891.248,0.000,4477891.248,6.748,6.629,7.968,0,3,15.797,0.000,0.000,0.000,0.000,3,15.797,disabled,0.000,0,0
AB-TRICKLE,betree,1,50000,10,500,128,contiguous,3052.348,889.606,4847.406,2.928,2.889,4.824,0,26,4.378,2.000,0.399,0.354,0.587,0,0.000,disabled,905.452,16,32
AB-REPLACE,flat,1,50000,10,500,128,contiguous,4283603.748,0.000,4283603.748,6.500,6.370,6.970,0,3,13.994,0.000,0.000,0.000,0.000,3,13.994,disabled,0.000,0,0
AB-REPLACE,betree,1,50000,10,500,128,contiguous,2778.232,902.506,4598.330,2.909,2.927,4.576,0,33,4.421,2.000,0.395,0.356,0.515,0,0.000,disabled,917.592,16,32
AB-MIXED,flat,1,50000,10,1000,128,contiguous,4409964.374,0.000,4409964.374,6.611,6.498,7.051,0,3,13.143,0.000,0.000,0.000,0.000,3,13.143,disabled,0.000,0,0
AB-MIXED,betree,1,50000,10,1000,128,contiguous,3121.223,362.235,3845.602,4.658,4.589,7.793,0,13,6.687,2.000,0.397,0.347,0.557,0,0.000,disabled,362.144,32,32
AB-OPEN,flat,1,50000,1,100,128,append,0.000,0.000,0.000,0.000,0.000,0.000,0,3,12.116,0.000,0.000,0.000,0.000,3,12.116,disabled,0.000,0,0
AB-RESOLVE,flat,1,50000,1,100,128,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled,0.000,0,0
AB-OPEN,betree,1,50000,1,100,128,append,0.000,0.000,0.000,0.000,0.000,0.000,0,3,0.740,0.000,0.000,0.000,0.000,68,28.867,disabled,0.000,0,0
AB-RESOLVE,betree,1,50000,1,100,128,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,2.000,0.338,0.337,0.354,0,0.000,disabled,0.000,0,0
AB-TRICKLE,flat,2,50000,10,500,128,contiguous,4477891.248,0.000,4477891.248,6.667,6.540,7.166,0,3,15.361,0.000,0.000,0.000,0.000,3,15.361,disabled,0.000,0,0
AB-TRICKLE,betree,2,50000,10,500,128,contiguous,3052.348,889.606,4847.406,3.065,3.185,4.590,0,26,4.112,2.000,0.396,0.352,0.595,0,0.000,disabled,905.452,16,32
AB-REPLACE,flat,2,50000,10,500,128,contiguous,4283603.748,0.000,4283603.748,6.439,6.324,6.820,0,3,12.865,0.000,0.000,0.000,0.000,3,12.865,disabled,0.000,0,0
AB-REPLACE,betree,2,50000,10,500,128,contiguous,2778.360,902.506,4598.458,2.917,2.846,4.616,0,33,4.421,2.000,0.382,0.348,0.508,0,0.000,disabled,917.592,16,32
AB-MIXED,flat,2,50000,10,1000,128,contiguous,4409964.374,0.000,4409964.374,6.609,6.435,7.454,0,3,13.286,0.000,0.000,0.000,0.000,3,13.286,disabled,0.000,0,0
