scenario,layout,run,n,f,commits,budget_kib,locality,tree_bytes_avg,transaction_bytes_avg,total_bytes_avg,commit_ms_avg,commit_ms_p50,commit_ms_p95,flushes,open_read_ops,open_ms,resolve_read_ops_avg,resolve_ms_avg,resolve_ms_p50,resolve_ms_p95,materialize_read_ops,materialize_ms,cache_policy
AB-APPEND,flat,1,50000,1,100,128,contiguous,4287946.000,0.000,4287946.000,7.383,7.425,8.268,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,betree,1,50000,1,100,128,contiguous,5628.000,0.000,5628.000,0.382,0.387,0.440,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,flat,1,50000,1,5000,128,contiguous,4498646.975,0.000,4498646.975,7.528,7.542,8.249,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,betree,1,50000,1,5000,128,contiguous,62608.131,0.000,62608.131,0.490,0.481,0.612,5,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,1,50000,10,500,128,contiguous,4477891.248,0.000,4477891.248,7.060,7.113,7.772,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,1,50000,10,500,128,contiguous,62474.602,0.000,62474.602,0.496,0.463,0.587,7,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,flat,1,50000,50000,1,128,contiguous,8133603.000,0.000,8133603.000,14.864,14.864,14.864,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,betree,1,50000,50000,1,128,contiguous,4647064.000,0.000,4647064.000,178.794,178.794,178.794,63,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,flat,2,50000,1,100,128,contiguous,4287946.000,0.000,4287946.000,7.127,7.040,7.729,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,betree,2,50000,1,100,128,contiguous,5628.000,0.000,5628.000,0.374,0.370,0.434,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,flat,2,50000,1,5000,128,contiguous,4498646.975,0.000,4498646.975,7.259,7.322,7.925,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,betree,2,50000,1,5000,128,contiguous,62608.195,0.000,62608.195,0.492,0.485,0.613,5,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,2,50000,10,500,128,contiguous,4477891.248,0.000,4477891.248,6.864,6.729,7.512,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,2,50000,10,500,128,contiguous,62474.090,0.000,62474.090,0.495,0.468,0.597,7,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,flat,2,50000,50000,1,128,contiguous,8133603.000,0.000,8133603.000,14.211,14.211,14.211,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,betree,2,50000,50000,1,128,contiguous,4648472.000,0.000,4648472.000,167.789,167.789,167.789,63,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,flat,3,50000,1,100,128,contiguous,4287946.000,0.000,4287946.000,6.817,6.961,7.198,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,betree,3,50000,1,100,128,contiguous,5628.000,0.000,5628.000,0.366,0.367,0.407,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,flat,3,50000,1,5000,128,contiguous,4498646.975,0.000,4498646.975,7.279,7.269,7.985,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,betree,3,50000,1,5000,128,contiguous,62608.119,0.000,62608.119,0.507,0.495,0.629,5,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,3,50000,10,500,128,contiguous,4477891.248,0.000,4477891.248,6.926,6.934,7.515,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,3,50000,10,500,128,contiguous,62474.346,0.000,62474.346,0.489,0.457,0.582,7,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,flat,3,50000,50000,1,128,contiguous,8133603.000,0.000,8133603.000,13.210,13.210,13.210,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,betree,3,50000,50000,1,128,contiguous,4648472.000,0.000,4648472.000,167.103,167.103,167.103,63,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,1,50000,10,500,128,scattered,4477891.248,0.000,4477891.248,8.674,8.715,10.368,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,1,50000,10,500,128,scattered,94575.266,0.000,94575.266,0.869,0.841,1.194,7,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,2,50000,10,500,128,scattered,4477891.248,0.000,4477891.248,8.968,9.020,10.673,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,2,50000,10,500,128,scattered,94575.266,0.000,94575.266,0.692,0.657,0.956,7,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,3,50000,10,500,128,scattered,4477891.248,0.000,4477891.248,8.656,8.151,10.627,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,3,50000,10,500,128,scattered,94575.266,0.000,94575.266,0.647,0.617,0.866,7,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-OPEN,flat,1,100000,1,100,128,append,0.000,0.000,0.000,0.000,0.000,0.000,0,3,39.911,0.000,0.000,0.000,0.000,3,39.911,disabled
AB-RESOLVE,flat,1,100000,1,100,128,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.001,0.001,0.002,0,0.000,disabled
AB-OPEN,betree,1,100000,1,100,128,append,0.000,0.000,0.000,0.000,0.000,0.000,0,2,1.494,0.000,0.000,0.000,0.000,136,83.241,disabled
AB-RESOLVE,betree,1,100000,1,100,128,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,2.000,0.553,0.550,0.727,0,0.000,disabled
