scenario,layout,run,n,f,commits,budget_kib,locality,tree_bytes_avg,transaction_bytes_avg,total_bytes_avg,commit_ms_avg,commit_ms_p50,commit_ms_p95,flushes,open_read_ops,open_ms,resolve_read_ops_avg,resolve_ms_avg,resolve_ms_p50,resolve_ms_p95,materialize_read_ops,materialize_ms,cache_policy
AB-APPEND-STEADY,flat,1,50000,1,5000,64,contiguous,4498646.975,0.000,4498646.975,7.802,7.688,8.965,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,betree,1,50000,1,5000,64,contiguous,33059.660,0.000,33059.660,0.463,0.440,0.591,7,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,1,50000,10,500,64,contiguous,4477891.248,0.000,4477891.248,7.101,7.030,7.772,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,1,50000,10,500,64,contiguous,37557.722,0.000,37557.722,0.516,0.431,0.531,6,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,flat,1,50000,50000,1,64,contiguous,8133603.000,0.000,8133603.000,15.455,15.455,15.455,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,betree,1,50000,50000,1,64,contiguous,4245832.000,0.000,4245832.000,76.964,76.964,76.964,8,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,flat,2,50000,1,5000,64,contiguous,4498646.975,0.000,4498646.975,7.672,7.537,9.150,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,betree,2,50000,1,5000,64,contiguous,33059.648,0.000,33059.648,0.472,0.440,0.644,7,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,2,50000,10,500,64,contiguous,4477891.248,0.000,4477891.248,7.561,7.419,8.983,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,2,50000,10,500,64,contiguous,37552.346,0.000,37552.346,0.508,0.428,0.523,6,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,flat,2,50000,50000,1,64,contiguous,8133603.000,0.000,8133603.000,14.502,14.502,14.502,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,betree,2,50000,50000,1,64,contiguous,4246216.000,0.000,4246216.000,78.410,78.410,78.410,8,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,flat,3,50000,1,5000,64,contiguous,4498646.975,0.000,4498646.975,7.274,7.160,8.067,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,betree,3,50000,1,5000,64,contiguous,33059.532,0.000,33059.532,0.507,0.489,0.597,7,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,3,50000,10,500,64,contiguous,4477891.248,0.000,4477891.248,7.218,7.127,7.983,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,3,50000,10,500,64,contiguous,37550.810,0.000,37550.810,0.575,0.491,0.587,6,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,flat,3,50000,50000,1,64,contiguous,8133603.000,0.000,8133603.000,14.548,14.548,14.548,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,betree,3,50000,50000,1,64,contiguous,4242696.000,0.000,4242696.000,79.685,79.685,79.685,8,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,1,50000,10,500,64,scattered,4477891.248,0.000,4477891.248,6.956,6.858,7.395,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,1,50000,10,500,64,scattered,72221.324,0.000,72221.324,0.777,0.454,6.186,28,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,2,50000,10,500,64,scattered,4477891.248,0.000,4477891.248,7.045,6.996,7.683,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,2,50000,10,500,64,scattered,72223.244,0.000,72223.244,0.787,0.452,6.141,28,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
