scenario,layout,run,n,f,commits,budget_kib,locality,tree_bytes_avg,transaction_bytes_avg,total_bytes_avg,commit_ms_avg,commit_ms_p50,commit_ms_p95,flushes,open_read_ops,open_ms,resolve_read_ops_avg,resolve_ms_avg,resolve_ms_p50,resolve_ms_p95,materialize_read_ops,materialize_ms,cache_policy
AB-TRICKLE,flat,1,50000,10,500,128,contiguous,4477891.248,0.000,4477891.248,6.798,6.572,7.910,0,3,14.982,0.000,0.000,0.000,0.000,3,14.982,disabled
AB-TRICKLE,betree,1,50000,10,500,128,contiguous,62475.242,855.714,63330.956,0.826,0.798,0.957,7,2,4.546,2.000,0.390,0.345,0.583,0,0.000,disabled
AB-REPLACE,flat,1,50000,10,500,128,contiguous,4283603.748,0.000,4283603.748,6.337,6.218,6.650,0,3,13.048,0.000,0.000,0.000,0.000,3,13.048,disabled
AB-REPLACE,betree,1,50000,10,500,128,contiguous,63584.666,1574.974,65159.640,0.809,0.772,0.920,12,2,4.563,2.000,0.336,0.332,0.365,0,0.000,disabled
AB-MIXED,flat,1,50000,10,1000,128,contiguous,4409964.374,0.000,4409964.374,6.501,6.407,6.977,0,3,13.761,0.000,0.000,0.000,0.000,3,13.761,disabled
AB-MIXED,betree,1,50000,10,1000,128,contiguous,76980.318,364.397,77344.715,0.866,0.827,0.983,9,2,8.304,2.000,0.390,0.347,0.536,0,0.000,disabled
AB-TRICKLE,flat,2,50000,10,500,128,contiguous,4477891.248,0.000,4477891.248,6.681,6.514,7.327,0,3,13.315,0.000,0.000,0.000,0.000,3,13.315,disabled
AB-TRICKLE,betree,2,50000,10,500,128,contiguous,62474.602,855.714,63330.316,0.819,0.788,0.945,7,2,4.307,2.000,0.386,0.343,0.575,0,0.000,disabled
AB-REPLACE,flat,2,50000,10,500,128,contiguous,4283603.748,0.000,4283603.748,6.309,6.197,6.701,0,3,12.864,0.000,0.000,0.000,0.000,3,12.864,disabled
AB-REPLACE,betree,2,50000,10,500,128,contiguous,63584.410,1574.974,65159.384,0.808,0.771,0.920,12,2,4.159,2.000,0.336,0.333,0.358,0,0.000,disabled
AB-MIXED,flat,2,50000,10,1000,128,contiguous,4409964.374,0.000,4409964.374,6.518,6.408,7.179,0,3,14.565,0.000,0.000,0.000,0.000,3,14.565,disabled
AB-MIXED,betree,2,50000,10,1000,128,contiguous,76980.254,364.397,77344.651,0.842,0.822,0.953,9,2,7.957,2.000,0.380,0.341,0.514,0,0.000,disabled
AB-TRICKLE,flat,3,50000,10,500,128,contiguous,4477891.248,0.000,4477891.248,6.537,6.422,6.977,0,3,14.005,0.000,0.000,0.000,0.001,3,14.005,disabled
AB-TRICKLE,betree,3,50000,10,500,128,contiguous,62474.218,855.714,63329.932,0.817,0.784,0.944,7,2,4.632,2.000,0.386,0.342,0.579,0,0.000,disabled
AB-REPLACE,flat,3,50000,10,500,128,contiguous,4283603.748,0.000,4283603.748,6.368,6.245,6.679,0,3,11.658,0.000,0.000,0.000,0.000,3,11.658,disabled
AB-REPLACE,betree,3,50000,10,500,128,contiguous,63584.026,1574.974,65159.000,0.837,0.802,0.948,12,2,4.100,2.000,0.339,0.337,0.365,0,0.000,disabled
AB-MIXED,flat,3,50000,10,1000,128,contiguous,4409964.374,0.000,4409964.374,6.476,6.390,6.834,0,3,13.771,0.000,0.000,0.000,0.000,3,13.771,disabled
AB-MIXED,betree,3,50000,10,1000,128,contiguous,76980.382,364.397,77344.779,0.846,0.823,0.998,9,2,8.188,2.000,0.383,0.341,0.534,0,0.000,disabled
AB-TRICKLE,flat,1,50000,10,500,128,scattered,4477891.248,0.000,4477891.248,6.546,6.432,7.072,0,3,14.641,0.000,0.000,0.000,0.000,3,14.641,disabled
AB-TRICKLE,betree,1,50000,10,500,128,scattered,94575.266,862.672,95437.938,0.851,0.846,0.994,7,2,6.537,2.000,0.459,0.455,0.518,0,0.000,disabled
AB-REPLACE,flat,1,50000,10,500,128,scattered,4283603.748,0.000,4283603.748,6.428,6.306,6.869,0,3,12.822,0.000,0.000,0.000,0.000,3,12.822,disabled
AB-REPLACE,betree,1,50000,10,500,128,scattered,103364.076,1588.890,104952.966,0.923,0.820,0.973,34,2,5.931,2.000,0.481,0.480,0.507,0,0.000,disabled
AB-MIXED,flat,1,50000,10,1000,128,scattered,4409964.374,0.000,4409964.374,6.558,6.467,7.062,0,3,13.454,0.000,0.000,0.000,0.000,3,13.454,disabled
AB-MIXED,betree,1,50000,10,1000,128,scattered,89998.148,366.738,90364.886,0.839,0.836,0.961,5,2,7.745,2.000,0.433,0.411,0.522,0,0.000,disabled
AB-TRICKLE,flat,2,50000,10,500,128,scattered,4477891.248,0.000,4477891.248,6.620,6.505,7.123,0,3,13.612,0.000,0.000,0.000,0.000,3,13.612,disabled
AB-TRICKLE,betree,2,50000,10,500,128,scattered,94575.266,862.672,95437.938,0.849,0.844,0.973,7,2,4.235,2.000,0.458,0.457,0.513,0,0.000,disabled
AB-REPLACE,flat,2,50000,10,500,128,scattered,4283603.748,0.000,4283603.748,6.435,6.318,6.899,0,3,12.805,0.000,0.000,0.000,0.000,3,12.805,disabled
AB-REPLACE,betree,2,50000,10,500,128,scattered,103364.844,1588.890,104953.734,0.922,0.815,0.990,34,2,4.409,2.000,0.482,0.481,0.510,0,0.000,disabled
AB-MIXED,flat,2,50000,10,1000,128,scattered,4409964.374,0.000,4409964.374,6.538,6.449,6.988,0,3,13.224,0.000,0.000,0.000,0.000,3,13.224,disabled
AB-MIXED,betree,2,50000,10,1000,128,scattered,89998.148,366.738,90364.886,0.844,0.834,1.000,5,2,9.171,2.000,0.436,0.410,0.531,0,0.000,disabled
AB-TRICKLE,flat,3,50000,10,500,128,scattered,4477891.248,0.000,4477891.248,6.630,6.539,7.063,0,3,13.468,0.000,0.000,0.000,0.000,3,13.468,disabled
AB-TRICKLE,betree,3,50000,10,500,128,scattered,94575.266,862.672,95437.938,0.851,0.850,0.974,7,2,4.561,2.000,0.461,0.458,0.525,0,0.000,disabled
AB-REPLACE,flat,3,50000,10,500,128,scattered,4283603.748,0.000,4283603.748,6.390,6.280,6.745,0,3,12.621,0.000,0.000,0.000,0.000,3,12.621,disabled
AB-REPLACE,betree,3,50000,10,500,128,scattered,103364.076,1588.890,104952.966,0.931,0.816,0.981,34,2,4.231,2.000,0.484,0.481,0.519,0,0.000,disabled
AB-MIXED,flat,3,50000,10,1000,128,scattered,4409964.374,0.000,4409964.374,6.553,6.436,7.090,0,3,13.536,0.000,0.000,0.000,0.000,3,13.536,disabled
AB-MIXED,betree,3,50000,10,1000,128,scattered,89998.148,366.738,90364.886,0.840,0.839,0.980,5,2,7.938,2.000,0.438,0.415,0.524,0,0.000,disabled
