scenario,layout,run,n,f,commits,budget_kib,locality,tree_bytes_avg,transaction_bytes_avg,total_bytes_avg,commit_ms_avg,commit_ms_p50,commit_ms_p95,flushes,open_read_ops,open_ms,resolve_read_ops_avg,resolve_ms_avg,resolve_ms_p50,resolve_ms_p95,materialize_read_ops,materialize_ms,cache_policy
AB-TRICKLE,flat,1,50000,10,500,128,contiguous,4477891.248,0.000,4477891.248,6.765,6.662,7.282,0,3,16.694,0.000,0.000,0.000,0.000,3,16.694,disabled
AB-TRICKLE,betree,1,50000,10,500,128,contiguous,62474.346,0.000,62474.346,0.485,0.453,0.582,7,2,4.306,2.000,0.394,0.345,0.603,0,0.000,disabled
AB-REPLACE,flat,1,50000,10,500,128,contiguous,4283603.748,0.000,4283603.748,6.703,6.674,7.069,0,3,13.723,0.000,0.000,0.000,0.000,3,13.723,disabled
AB-REPLACE,betree,1,50000,10,500,128,contiguous,63584.538,0.000,63584.538,0.609,0.561,0.768,12,2,6.686,2.000,0.353,0.348,0.386,0,0.000,disabled
AB-MIXED,flat,1,50000,10,1000,128,contiguous,4409964.374,0.000,4409964.374,6.780,6.683,7.085,0,3,14.881,0.000,0.000,0.000,0.000,3,14.881,disabled
AB-MIXED,betree,1,50000,10,1000,128,contiguous,76980.638,0.000,76980.638,0.532,0.514,0.637,9,2,8.407,2.000,0.387,0.347,0.535,0,0.000,disabled
AB-TRICKLE,flat,2,50000,10,500,128,contiguous,4477891.248,0.000,4477891.248,6.659,6.577,7.094,0,3,13.430,0.000,0.000,0.000,0.000,3,13.430,disabled
AB-TRICKLE,betree,2,50000,10,500,128,contiguous,62474.602,0.000,62474.602,0.524,0.496,0.623,7,2,4.571,2.000,0.392,0.349,0.590,0,0.000,disabled
AB-REPLACE,flat,2,50000,10,500,128,contiguous,4283603.748,0.000,4283603.748,6.443,6.366,6.762,0,3,12.843,0.000,0.000,0.000,0.000,3,12.843,disabled
AB-REPLACE,betree,2,50000,10,500,128,contiguous,63584.666,0.000,63584.666,0.531,0.493,0.609,12,2,4.842,2.000,0.345,0.343,0.374,0,0.000,disabled
AB-MIXED,flat,2,50000,10,1000,128,contiguous,4409964.374,0.000,4409964.374,6.568,6.527,6.972,0,3,13.940,0.000,0.000,0.000,0.000,3,13.940,disabled
AB-MIXED,betree,2,50000,10,1000,128,contiguous,76980.574,0.000,76980.574,0.518,0.493,0.617,9,2,7.610,2.000,0.376,0.335,0.512,0,0.000,disabled
AB-TRICKLE,flat,3,50000,10,500,128,contiguous,4477891.248,0.000,4477891.248,6.614,6.549,7.066,0,3,13.945,0.000,0.000,0.000,0.000,3,13.945,disabled
AB-TRICKLE,betree,3,50000,10,500,128,contiguous,62475.370,0.000,62475.370,0.535,0.508,0.651,7,2,5.158,2.000,0.394,0.351,0.594,0,0.000,disabled
AB-REPLACE,flat,3,50000,10,500,128,contiguous,4283603.748,0.000,4283603.748,6.453,6.384,6.797,0,3,12.237,0.000,0.000,0.000,0.000,3,12.237,disabled
AB-REPLACE,betree,3,50000,10,500,128,contiguous,63584.666,0.000,63584.666,0.481,0.441,0.560,12,2,5.107,2.000,0.337,0.331,0.371,0,0.000,disabled
AB-MIXED,flat,3,50000,10,1000,128,contiguous,4409964.374,0.000,4409964.374,7.091,6.779,9.055,0,3,15.041,0.000,0.000,0.000,0.000,3,15.041,disabled
AB-MIXED,betree,3,50000,10,1000,128,contiguous,76980.190,0.000,76980.190,0.537,0.507,0.652,9,2,8.239,2.000,0.412,0.373,0.554,0,0.000,disabled
AB-TRICKLE,flat,1,50000,10,500,128,scattered,4477891.248,0.000,4477891.248,9.700,8.765,15.095,0,3,23.000,0.000,0.001,0.001,0.001,3,23.000,disabled
AB-TRICKLE,betree,1,50000,10,500,128,scattered,94575.266,0.000,94575.266,1.383,1.060,3.302,7,2,5.936,2.000,1.107,0.914,2.264,0,0.000,disabled
AB-REPLACE,flat,1,50000,10,500,128,scattered,4283603.748,0.000,4283603.748,11.237,10.774,15.043,0,3,20.603,0.000,0.001,0.000,0.001,3,20.603,disabled
AB-REPLACE,betree,1,50000,10,500,128,scattered,103364.076,0.000,103364.076,1.745,0.947,3.690,34,2,9.231,2.000,3.537,1.804,11.700,0,0.000,disabled
AB-MIXED,flat,1,50000,10,1000,128,scattered,4409964.374,0.000,4409964.374,11.757,10.829,17.250,0,3,22.227,0.000,0.000,0.000,0.001,3,22.227,disabled
AB-MIXED,betree,1,50000,10,1000,128,scattered,89998.148,0.000,89998.148,0.851,0.770,1.293,5,2,12.390,2.000,1.146,0.738,2.689,0,0.000,disabled
AB-TRICKLE,flat,2,50000,10,500,128,scattered,4477891.248,0.000,4477891.248,10.522,10.394,12.573,0,3,19.653,0.000,0.001,0.001,0.001,3,19.653,disabled
AB-TRICKLE,betree,2,50000,10,500,128,scattered,94575.266,0.000,94575.266,0.825,0.789,1.098,7,2,5.515,2.000,0.773,0.718,1.070,0,0.000,disabled
AB-REPLACE,flat,2,50000,10,500,128,scattered,4283603.748,0.000,4283603.748,9.678,9.579,10.934,0,3,17.269,0.000,0.000,0.000,0.000,3,17.269,disabled
AB-REPLACE,betree,2,50000,10,500,128,scattered,103362.540,0.000,103362.540,0.964,0.731,1.240,34,2,6.371,2.000,0.858,0.825,1.113,0,0.000,disabled
AB-MIXED,flat,2,50000,10,1000,128,scattered,4409964.374,0.000,4409964.374,9.746,9.633,10.974,0,3,18.680,0.000,0.000,0.000,0.000,3,18.680,disabled
AB-MIXED,betree,2,50000,10,1000,128,scattered,89998.148,0.000,89998.148,0.830,0.778,1.198,5,2,9.978,2.000,0.680,0.679,0.878,0,0.000,disabled
AB-TRICKLE,flat,3,50000,10,500,128,scattered,4477891.248,0.000,4477891.248,9.768,9.613,11.099,0,3,19.485,0.000,0.000,0.000,0.001,3,19.485,disabled
AB-TRICKLE,betree,3,50000,10,500,128,scattered,94575.266,0.000,94575.266,0.764,0.747,0.959,7,2,5.542,2.000,0.704,0.660,0.965,0,0.000,disabled
AB-REPLACE,flat,3,50000,10,500,128,scattered,4283603.748,0.000,4283603.748,9.532,9.577,10.489,0,3,17.978,0.000,0.000,0.000,0.001,3,17.978,disabled
AB-REPLACE,betree,3,50000,10,500,128,scattered,103363.436,0.000,103363.436,0.955,0.776,0.966,34,2,5.901,2.000,0.731,0.698,0.998,0,0.000,disabled
AB-MIXED,flat,3,50000,10,1000,128,scattered,4409964.374,0.000,4409964.374,10.145,10.075,11.051,0,3,19.925,0.000,0.000,0.000,0.001,3,19.925,disabled
AB-MIXED,betree,3,50000,10,1000,128,scattered,89998.148,0.000,89998.148,0.788,0.784,0.975,5,2,11.032,2.000,0.769,0.760,0.988,0,0.000,disabled
