benchmark,case,schema_mode,producer_count,rows,write_batch_size,poll_entries,payload_bytes,repeat,elapsed_seconds,rows_per_second,wal_entries_read,arrow_batches_read,polls
read,read_prod1_200k_poll32,default,1,200000,5000,32,256,0,2.253856,88736.805,40,40,2
read,read_prod1_200k_poll32,default,1,200000,5000,32,256,1,2.681322,74590.073,40,40,2
read,read_prod1_200k_poll32,default,1,200000,5000,32,256,2,2.305431,86751.688,40,40,2
read,read_prod4_200k_poll32,default,4,200000,5000,32,256,0,2.601702,76872.767,40,40,1
read,read_prod4_200k_poll32,default,4,200000,5000,32,256,1,2.189169,91358.879,40,40,1
read,read_prod4_200k_poll32,default,4,200000,5000,32,256,2,2.066338,96789.579,40,40,1
read,read_prod1_500k_poll32,default,1,500000,5000,32,256,0,9.126335,54786.503,100,100,4
read,read_prod1_500k_poll32,default,1,500000,5000,32,256,1,8.603289,58117.308,100,100,4
read,read_prod1_500k_poll32,default,1,500000,5000,32,256,2,8.377688,59682.337,100,100,4
read,read_prod1_200k_poll32,custom,1,200000,5000,32,256,0,10.026567,19947.007,40,40,2
read,read_prod1_200k_poll32,custom,1,200000,5000,32,256,1,9.740513,20532.800,40,40,2
read,read_prod1_200k_poll32,custom,1,200000,5000,32,256,2,9.673286,20675.497,40,40,2
read,read_prod4_200k_poll32,custom,4,200000,5000,32,256,0,9.832812,20340.061,40,40,1
read,read_prod4_200k_poll32,custom,4,200000,5000,32,256,1,10.531488,18990.669,40,40,1
read,read_prod4_200k_poll32,custom,4,200000,5000,32,256,2,9.771075,20468.576,40,40,1
read,read_prod1_500k_poll32,custom,1,500000,5000,32,256,0,24.113298,20735.446,100,100,4
read,read_prod1_500k_poll32,custom,1,500000,5000,32,256,1,23.936242,20888.827,100,100,4
read,read_prod1_500k_poll32,custom,1,500000,5000,32,256,2,24.183742,20675.047,100,100,4
