benchmark,case,schema_mode,partition_count,producer_count,rows,batch_size,payload_bytes,repeat,elapsed_seconds,rows_per_second,wal_mib_per_second,wal_bytes,wal_entries
write,single_p1,default,1,1,200000,5000,256,0,2.334937,85655.428,27.330,66914816,40
write,single_p1,default,1,1,200000,5000,256,1,2.277890,87800.552,28.015,66914816,40
write,single_p1,default,1,1,200000,5000,256,2,2.080742,96119.539,30.669,66914816,40
write,single_p4,default,4,1,200000,5000,256,0,1.862368,107390.184,34.361,67100800,160
write,single_p4,default,4,1,200000,5000,256,1,1.943120,102927.251,32.933,67100800,160
write,single_p4,default,4,1,200000,5000,256,2,2.277962,87797.786,28.092,67100800,160
write,scale_p4_prod2,default,4,2,500000,5000,256,0,2.887317,173171.147,55.448,167873024,400
write,scale_p4_prod2,default,4,2,500000,5000,256,1,2.940991,170010.739,54.436,167873024,400
write,scale_p4_prod2,default,4,2,500000,5000,256,2,3.065165,163123.375,52.231,167873024,400
write,scale_p4_prod4,default,4,4,500000,5000,256,0,1.575736,317312.129,101.307,167386880,400
write,scale_p4_prod4,default,4,4,500000,5000,256,1,1.664405,300407.723,95.910,167386880,400
write,scale_p4_prod4,default,4,4,500000,5000,256,2,1.667053,299930.413,95.757,167386880,400
write,scale_p4_prod8,default,4,8,500000,5000,256,0,1.269298,393918.637,125.321,166796800,416
write,scale_p4_prod8,default,4,8,500000,5000,256,1,1.211560,412690.943,131.293,166796800,416
write,scale_p4_prod8,default,4,8,500000,5000,256,2,1.361292,367298.069,116.852,166796800,416
write,batch_100,default,1,1,100000,100,256,0,38.469763,2599.444,0.865,34882176,1000
write,batch_100,default,1,1,100000,100,256,1,39.297877,2544.667,0.847,34882176,1000
write,batch_100,default,1,1,100000,100,256,2,37.557062,2662.615,0.886,34882176,1000
write,batch_1000,default,1,1,200000,1000,256,0,8.363682,23912.914,7.655,67136832,200
write,batch_1000,default,1,1,200000,1000,256,1,7.746199,25819.113,8.266,67136832,200
write,batch_1000,default,1,1,200000,1000,256,2,9.109597,21954.869,7.028,67136832,200
write,batch_5000,default,1,1,500000,5000,256,0,6.081608,82215.102,26.290,167650016,100
write,batch_5000,default,1,1,500000,5000,256,1,6.281200,79602.619,25.454,167650016,100
write,batch_5000,default,1,1,500000,5000,256,2,6.297439,79397.359,25.389,167650016,100
write,single_p1,custom,1,1,200000,5000,256,0,13.950490,14336.414,58.511,855902208,40
write,single_p1,custom,1,1,200000,5000,256,1,14.041515,14243.477,58.131,855902208,40
write,single_p1,custom,1,1,200000,5000,256,2,13.009886,15372.925,62.741,855902208,40
write,single_p4,custom,4,1,200000,5000,256,0,5.374605,37212.037,151.911,856123648,160
write,single_p4,custom,4,1,200000,5000,256,1,7.372074,27129.409,110.751,856123648,160
write,single_p4,custom,4,1,200000,5000,256,2,5.218711,38323.637,156.449,856123648,160
write,scale_p4_prod2,custom,4,2,500000,5000,256,0,8.854678,56467.324,230.524,2140366144,400
write,scale_p4_prod2,custom,4,2,500000,5000,256,1,8.250269,60604.082,247.412,2140366144,400
write,scale_p4_prod2,custom,4,2,500000,5000,256,2,10.113682,49437.979,201.827,2140366144,400
write,scale_p4_prod4,custom,4,4,500000,5000,256,0,5.788660,86375.770,352.586,2140141248,400
write,scale_p4_prod4,custom,4,4,500000,5000,256,1,5.592829,89400.200,364.931,2140141248,400
write,scale_p4_prod4,custom,4,4,500000,5000,256,2,6.093239,82058.157,334.961,2140141248,400
write,scale_p4_prod8,custom,4,8,500000,5000,256,0,5.268939,94895.767,387.344,2140031040,416
write,scale_p4_prod8,custom,4,8,500000,5000,256,1,4.791168,104358.695,425.970,2140031040,416
write,scale_p4_prod8,custom,4,8,500000,5000,256,2,8.288087,60327.549,246.244,2140031040,416
write,batch_100,custom,1,1,100000,100,256,0,43.132438,2318.441,9.502,429760192,1000
write,batch_100,custom,1,1,100000,100,256,1,43.241502,2312.593,9.478,429760192,1000
write,batch_100,custom,1,1,100000,100,256,2,43.608163,2293.149,9.398,429760192,1000
write,batch_1000,custom,1,1,200000,1000,256,0,18.406985,10865.441,44.357,856143872,200
write,batch_1000,custom,1,1,200000,1000,256,1,18.873204,10597.035,43.261,856143872,200
write,batch_1000,custom,1,1,200000,1000,256,2,19.458346,10278.366,41.961,856143872,200
write,batch_5000,custom,1,1,500000,5000,256,0,29.588096,16898.688,68.973,2139921888,100
write,batch_5000,custom,1,1,500000,5000,256,1,29.201239,17122.561,69.887,2139921888,100
write,batch_5000,custom,1,1,500000,5000,256,2,30.047983,16640.052,67.918,2139921888,100
